row_id,v2_common_hotel_id,city_id,slug,name,run_id,reason,detail,last_attempted_at
1,603,1280,anantara-downtown-dubai,anantara downtown dubai,20260817-151316,needs_image_backfill,6 room(s) published without a thumbnail this run,2026-08-17T15:29:42
2,604,1280,anantara-the-palm-dubai-resort,anantara the palm dubai resort,20260817-151316,needs_image_backfill,1 room(s) published without a thumbnail this run,2026-08-17T15:32:50
3,605,1280,hilton-dubai-the-walk,hilton dubai the walk,20260817-151316,needs_image_backfill,13 room(s) published without a thumbnail this run,2026-08-17T15:44:26
4,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260817-230047,no_agoda_match,rejected 'Dunes Hotel Apartment Oud Metha' name=73% strict=70% dist=0.86km same_city=True,2026-08-17T23:07:09
5,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-17T23:11:35
6,412,9658,palm-beach-hotel,palm beach hotel,20260817-230047,no_agoda_match,rejected 'Jomtien Palm Beach Hotel & Resort - Family-Friendly' name=100% strict=48% dist=4957.17km same_city=False,2026-08-17T23:12:25
7,414,9658,imperial-suites-hotel,imperial suites hotel,20260817-230047,no_agoda_match,rejected 'HOTEL IMPERIAL SUITES' name=100% strict=100% dist=1930.31km same_city=False,2026-08-17T23:12:54
8,417,9658,rush-inn-hotel,rush inn hotel,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-17T23:14:29
9,419,9658,pearl-residence-hotel-apartments,pearl residence hotel apartments,20260817-230047,no_agoda_match,rejected 'North Pearl Residence Apartments' name=91% strict=91% dist=2258.11km same_city=False,2026-08-17T23:15:10
10,422,9658,burjuman-arjaan-by-rotana-dubai,burjuman arjaan by rotana dubai,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-17T23:16:51
11,434,9658,oyo-109-smana-hotel-al-raffa,oyo 109 smana hotel al raffa,20260817-230047,no_agoda_match,no candidate above name threshold,2026-08-17T23:21:43
12,435,9658,hyde-park-hotel,hyde park hotel,20260817-230047,no_agoda_match,rejected 'Hyde Park Hotel Bangkok' name=100% strict=79% dist=4887.85km same_city=False,2026-08-17T23:21:50
13,436,9658,london-crown-hotel,london crown hotel,20260817-230047,no_rooms_any_date,"agoda source=http, bookme rooms=0",2026-08-17T23:22:23
14,439,9658,milestone-hotel-apartments,milestone hotel apartments,20260817-230047,no_agoda_match,rejected 'Milestone Boutique Apartments' name=87% strict=87% dist=5883.53km same_city=False,2026-08-17T23:24:51
